ID:,DF692435CB1C3125,,,,
Temperature Unit of Measure is Celsius,,,,,
Date format is MM/DD/YYYY,,,,,
Start Time and Date,,10:00,1/20/2021,,
Stop Time and Date,,16:45,2/3/2021,,
,,,,,
Minimum Temperature,,,,,
P1,2.31,13:57,1/27/2021,,
P2,  --.--,--:--,--/--/----,,
,,,,,
Maximum Temperature,,,,,
P1,6.1,14:08,1/29/2021,,
P2,  --.--,--:--,--/--/----,,
,,,,,
Alarm Event Data,,,,,
Probe,Temp,Time Out,Date Out,Time In,Date In
,,,,,
Temperature Data,,,,,
P1,P2,Time,Date,,
2.76, --.--,16:45,2/3/2021,,
2.8, --.--,16:30,2/3/2021,,
3.8, --.--,16:15,2/3/2021,,
4.81, --.--,16:00,2/3/2021,,
5.74, --.--,15:45,2/3/2021,,
5.2, --.--,15:30,2/3/2021,,
3.51, --.--,15:15,2/3/2021,,
2.52, --.--,15:00,2/3/2021,,
3.34, --.--,14:45,2/3/2021,,
4.39, --.--,14:30,2/3/2021,,
5.4, --.--,14:15,2/3/2021,,
5.69, --.--,14:00,2/3/2021,,
4.12, --.--,13:45,2/3/2021,,
2.57, --.--,13:30,2/3/2021,,
3.03, --.--,13:15,2/3/2021,,
4.11, --.--,13:00,2/3/2021,,
5.11, --.--,12:45,2/3/2021,,
5.87, --.--,12:30,2/3/2021,,
4.68, --.--,12:15,2/3/2021,,
2.97, --.--,12:00,2/3/2021,,
2.72, --.--,11:45,2/3/2021,,
3.73, --.--,11:30,2/3/2021,,
4.8, --.--,11:15,2/3/2021,,
5.76, --.--,11:00,2/3/2021,,
5.15, --.--,10:45,2/3/2021,,
3.43, --.--,10:30,2/3/2021,,
2.56, --.--,10:15,2/3/2021,,
3.45, --.--,10:00,2/3/2021,,
4.52, --.--,9:45,2/3/2021,,
5.5, --.--,9:30,2/3/2021,,
5.55, --.--,9:15,2/3/2021,,
3.84, --.--,9:00,2/3/2021,,
2.49, --.--,8:45,2/3/2021,,
3.26, --.--,8:30,2/3/2021,,
4.33, --.--,8:15,2/3/2021,,
5.36, --.--,8:00,2/3/2021,,
5.71, --.--,7:45,2/3/2021,,
4.05, --.--,7:30,2/3/2021,,
2.56, --.--,7:15,2/3/2021,,
3.13, --.--,7:00,2/3/2021,,
4.2, --.--,6:45,2/3/2021,,
5.21, --.--,6:30,2/3/2021,,
5.85, --.--,6:15,2/3/2021,,
4.43, --.--,6:00,2/3/2021,,
2.68, --.--,5:45,2/3/2021,,
2.95, --.--,5:30,2/3/2021,,
4.08, --.--,5:15,2/3/2021,,
5.14, --.--,5:00,2/3/2021,,
5.86, --.--,4:45,2/3/2021,,
4.49, --.--,4:30,2/3/2021,,
2.72, --.--,4:15,2/3/2021,,
2.9, --.--,4:00,2/3/2021,,
4.03, --.--,3:45,2/3/2021,,
5.1, --.--,3:30,2/3/2021,,
5.87, --.--,3:15,2/3/2021,,
4.65, --.--,3:00,2/3/2021,,
2.84, --.--,2:45,2/3/2021,,
2.84, --.--,2:30,2/3/2021,,
3.94, --.--,2:15,2/3/2021,,
5.04, --.--,2:00,2/3/2021,,
5.89, --.--,1:45,2/3/2021,,
4.66, --.--,1:30,2/3/2021,,
2.83, --.--,1:15,2/3/2021,,
2.89, --.--,1:00,2/3/2021,,
4.01, --.--,0:45,2/3/2021,,
5.07, --.--,0:30,2/3/2021,,
5.89, --.--,0:15,2/3/2021,,
4.52, --.--,0:00,2/3/2021,,
2.7, --.--,23:45,2/2/2021,,
2.94, --.--,23:30,2/2/2021,,
4.08, --.--,23:15,2/2/2021,,
5.15, --.--,23:00,2/2/2021,,
5.87, --.--,22:45,2/2/2021,,
4.46, --.--,22:30,2/2/2021,,
2.67, --.--,22:15,2/2/2021,,
2.98, --.--,22:00,2/2/2021,,
4.13, --.--,21:45,2/2/2021,,
5.22, --.--,21:30,2/2/2021,,
5.83, --.--,21:15,2/2/2021,,
4.29, --.--,21:00,2/2/2021,,
2.59, --.--,20:45,2/2/2021,,
3.09, --.--,20:30,2/2/2021,,
4.27, --.--,20:15,2/2/2021,,
5.32, --.--,20:00,2/2/2021,,
5.75, --.--,19:45,2/2/2021,,
4.1, --.--,19:30,2/2/2021,,
2.54, --.--,19:15,2/2/2021,,
3.17, --.--,19:00,2/2/2021,,
4.34, --.--,18:45,2/2/2021,,
5.36, --.--,18:30,2/2/2021,,
5.71, --.--,18:15,2/2/2021,,
3.98, --.--,18:00,2/2/2021,,
2.49, --.--,17:45,2/2/2021,,
3.31, --.--,17:30,2/2/2021,,
4.48, --.--,17:15,2/2/2021,,
5.5, --.--,17:00,2/2/2021,,
5.48, --.--,16:45,2/2/2021,,
3.65, --.--,16:30,2/2/2021,,
2.55, --.--,16:15,2/2/2021,,
3.46, --.--,16:00,2/2/2021,,
4.63, --.--,15:45,2/2/2021,,
5.61, --.--,15:30,2/2/2021,,
5.35, --.--,15:15,2/2/2021,,
3.5, --.--,15:00,2/2/2021,,
2.59, --.--,14:45,2/2/2021,,
3.57, --.--,14:30,2/2/2021,,
4.71, --.--,14:15,2/2/2021,,
5.69, --.--,14:00,2/2/2021,,
5.18, --.--,13:45,2/2/2021,,
3.24, --.--,13:30,2/2/2021,,
